Area,Pop. Est
"Covington city, Virginia",5578
"Danville city, Virginia",40649
"Emporia city, Virginia",5363
"Fairfax city, Virginia",23725
"Falls Church city, Virginia",14467
"Franklin city, Virginia",8089
"Fredericksburg city, Virginia",29171
"Galax city, Virginia",6348
"Hampton city, Virginia",134330
"Harrisonburg city, Virginia",53488
"Hopewell city, Virginia",22478
"Lexington city, Virginia",7297
"Lynchburg city, Virginia",81309
"Manassas city, Virginia",41046
"Manassas Park city, Virginia",17718
"Martinsville city, Virginia",12627
"Newport News city, Virginia",178523
"Norfolk city, Virginia",243585
"Norton city, Virginia",3972
"Petersburg city, Virginia",31056
"Poquoson city, Virginia",12169
"Portsmouth city, Virginia",94750
"Radford city, Virginia",18101
"Richmond city, Virginia",229221
"Roanoke city, Virginia",99009
"Salem city, Virginia",25293
"Staunton city, Virginia",24562
"Suffolk city, Virginia",90975
"Virginia Beach city, Virginia",449849
"Waynesboro city, Virginia",22531
"Williamsburg city, Virginia",15002
"Winchester city, Virginia",27962
"Adams, Washington",19736
"Asotin, Washington",22616
"Benton, Washington",201286
"Chelan, Washington",76752
"Clallam, Washington",76551
"Clark, Washington",481427
"Columbia, Washington",4039
"Cowlitz, Washington",108752
"Douglas, Washington",42749
"Ferry, Washington",7638
"Franklin, Washington",94003
"Garfield, Washington",2240
"Grant, Washington",96672
"Grays Harbor, Washington",73801
"Island, Washington",84227
"Jefferson, Washington",31746
"King, Washington",2228364
"Kitsap, Washington",269276
"Kittitas, Washington",47358
"Klickitat, Washington",22136
"Lewis, Washington",79569
"Lincoln, Washington",10726
"Mason, Washington",65380
"Okanogan, Washington",42117
"Pacific, Washington",22074
"Pend Oreille, Washington",13586
"Pierce, Washington",893756
"San Juan, Washington",17124
"Skagit, Washington",127835
"Skamania, Washington",11919
"Snohomish, Washington",813059
"Spokane, Washington",513603
"Stevens, Washington",45224
"Thurston, Washington",286056
"Wahkiakum, Washington",4415
"Walla Walla, Washington",60615
"Whatcom, Washington",225197
"Whitman, Washington",49683
"Yakima, Washington",250562
"Barbour, West Virginia",16487
"Berkeley, West Virginia",117236
"Boone, West Virginia",21953
"Braxton, West Virginia",14076
"Brooke, West Virginia",22129
"Cabell, West Virginia",93035
"Calhoun, West Virginia",7217
"Clay, West Virginia",8639
"Doddridge, West Virginia",8556
"Fayette, West Virginia",42982
"Gilmer, West Virginia",7898
"Grant, West Virginia",11630
"Greenbrier, West Virginia",34792
"Hampshire, West Virginia",23357
"Hancock, West Virginia",29079
"Hardy, West Virginia",13764
"Harrison, West Virginia",67494
"Jackson, West Virginia",28695
"Jefferson, West Virginia",56890
"Kanawha, West Virginia",180410
"Lewis, West Virginia",16017
"Lincoln, West Virginia",20583
"Logan, West Virginia",32609
"McDowell, West Virginia",18221
"Marion, West Virginia",56091
"Marshall, West Virginia",30821
"Mason, West Virginia",26752
"Mercer, West Virginia",59202
"Mineral, West Virginia",26953
"Mingo, West Virginia",23851
"Monongalia, West Virginia",105651
"Monroe, West Virginia",13289
"Morgan, West Virginia",17830
"Nicholas, West Virginia",24835
"Ohio, West Virginia",41705
"Pendleton, West Virginia",6984
"Pleasants, West Virginia",7505
"Pocahontas, West Virginia",8408
"Preston, West Virginia",33553
"Putnam, West Virginia",56642
"Raleigh, West Virginia",74172
"Randolph, West Virginia",28814
"Ritchie, West Virginia",9748
"Roane, West Virginia",13918
"Summers, West Virginia",12672
"Taylor, West Virginia",16828
"Tucker, West Virginia",6937
"Tyler, West Virginia",8740
"Upshur, West Virginia",24372
"Wayne, West Virginia",39961
"Webster, West Virginia",8274
"Wetzel, West Virginia",15259
"Wirt, West Virginia",5811
"Wood, West Virginia",84180
"Wyoming, West Virginia",20784
"Adams, Wisconsin",20341
"Ashland, Wisconsin",15587
"Barron, Wisconsin",45150
"Bayfield, Wisconsin",15026
"Brown, Wisconsin",263165
"Buffalo, Wisconsin",13114
"Burnett, Wisconsin",15374
"Calumet, Wisconsin",50132
"Chippewa, Wisconsin",64109
"Clark, Wisconsin",34705
"Columbia, Wisconsin",57333
"Crawford, Wisconsin",16265
"Dane, Wisconsin",541948
"Dodge, Wisconsin",87833
"Door, Wisconsin",27589
"Douglas, Wisconsin",43143
"Dunn, Wisconsin",45091
"Eau Claire, Wisconsin",104355
"Florence, Wisconsin",4294
"Fond du Lac, Wisconsin",103001
"Forest, Wisconsin",8977
"Grant, Wisconsin",51444
"Green, Wisconsin",36924
"Green Lake, Wisconsin",18849
"Iowa, Wisconsin",23722
"Iron, Wisconsin",5687
"Jackson, Wisconsin",20472
"Jefferson, Wisconsin",85049
"Juneau, Wisconsin",26593
"Kenosha, Wisconsin",168926
"Kewaunee, Wisconsin",20395
"La Crosse, Wisconsin",118041
"Lafayette, Wisconsin",16672
"Langlade, Wisconsin",19236
"Lincoln, Wisconsin",27673
"Manitowoc, Wisconsin",79015
"Marathon, Wisconsin",135421
"Marinette, Wisconsin",40402
"Marquette, Wisconsin",15418
"Menominee, Wisconsin",4595
"Milwaukee, Wisconsin",946969
"Monroe, Wisconsin",46141
"Oconto, Wisconsin",37824
"Oneida, Wisconsin",35444
"Outagamie, Wisconsin",186879
"Ozaukee, Wisconsin",89059
"Pepin, Wisconsin",7304
"Pierce, Wisconsin",42592
"Polk, Wisconsin",43568
"Portage, Wisconsin",70850
"Price, Wisconsin",13357
"Racine, Wisconsin",196357
"Richland, Wisconsin",17397
"Rock, Wisconsin",162874
"Rusk, Wisconsin",14110
"St Croix, Wisconsin",89688
"Sauk, Wisconsin",64318
"Sawyer, Wisconsin",16464
"Shawano, Wisconsin",40771
"Sheboygan, Wisconsin",115233
"Taylor, Wisconsin",20364
"Trempealeau, Wisconsin",29494
"Vernon, Wisconsin",30772
"Vilas, Wisconsin",21928
"Walworth, Wisconsin",103550
"Washburn, Wisconsin",15837
"Washington, Wisconsin",135445
"Waukesha, Wisconsin",402522
"Waupaca, Wisconsin",51130
"Waushara, Wisconsin",24267
"Winnebago, Wisconsin",170878
"Wood, Wisconsin",72954
"Albany, Wyoming",38728
"Big Horn, Wyoming",11877
"Campbell, Wyoming",46299
"Carbon, Wyoming",14879
"Converse, Wyoming",13658
"Crook, Wyoming",7445
"Fremont, Wyoming",39561
"Goshen, Wyoming",13292
"Hot Springs, Wyoming",4568
"Johnson, Wyoming",8446
"Laramie, Wyoming",98865
"Lincoln, Wyoming",19445
"Natrona, Wyoming",79175
"Niobrara, Wyoming",2400
"Park, Wyoming",29210
"Platte, Wyoming",8516
"Sheridan, Wyoming",30219
"Sublette, Wyoming",9798
"Sweetwater, Wyoming",42858
"Teton, Wyoming",23269
"Uinta, Wyoming",20292
"Washakie, Wyoming",7877
"Weston, Wyoming",6924
